term_id,term_name,methods_tested,methods_significant,significant_fraction,wilcoxon_tested,gprofiler_tested,wilcoxon_gene_set_size,wilcoxon_effect_difference,wilcoxon_p_value,wilcoxon_adjusted_p_value,wilcoxon_significant,gprofiler_term_size,gprofiler_intersection_size,gprofiler_p_value,gprofiler_significant
GO:1901348,positive regulation of secondary cell wall biogenesis,1,0,0.0,True,False,10.0,-0.0471312178451754,0.0340048449915862,0.1047883440828336,False,,,,
GO:0010099,regulation of photomorphogenesis,1,0,0.0,True,False,23.0,0.0288740416650036,0.0359744797175634,0.109208241999746,False,,,,
GO:0080022,primary root development,1,0,0.0,True,False,45.0,-0.0084906524262646,0.037765239387013,0.1139661070258974,False,,,,
GO:2000280,regulation of root development,1,0,0.0,True,False,70.0,-0.0057427578849156,0.0380563299981907,0.1141689899945721,False,,,,
GO:0010254,nectary development,1,0,0.0,False,True,,,,,,1.0,1.0,0.1195613434624006,False
GO:0045995,regulation of embryonic development,1,0,0.0,True,False,16.0,0.0143323581593667,0.044591938821034,0.1273445131952242,False,,,,
GO:1901332,negative regulation of lateral root development,1,0,0.0,True,False,10.0,-0.0382697405963373,0.0463613347228214,0.129913630267247,False,,,,
GO:0007275,multicellular organism development,1,0,0.0,False,True,,,,,,2403.0,54.0,0.1476869056570539,False
GO:0048639,positive regulation of developmental growth,1,0,0.0,False,True,,,,,,14.0,2.0,0.1483752064863471,False
GO:0048827,phyllome development,2,0,0.0,True,True,13.0,-0.0015429102202677,0.8819177184597762,0.9376743866648912,False,497.0,15.0,0.1555715253967282,False
GO:0061458,reproductive system development,1,0,0.0,False,True,,,,,,1152.0,29.0,0.1555715253967282,False
GO:0010053,root epidermal cell differentiation,1,0,0.0,True,False,21.0,-0.0183334290091447,0.0613030759818274,0.1615739987117933,False,,,,
GO:0048825,cotyledon development,1,0,0.0,True,False,39.0,0.0079813879942782,0.0632207230502723,0.1649236253485365,False,,,,
GO:0010433,bract morphogenesis,1,0,0.0,False,True,,,,,,2.0,1.0,0.1698027179383449,False
GO:0048856,anatomical structure development,1,0,0.0,False,True,,,,,,2766.0,60.0,0.1698027179383449,False
GO:0009960,endosperm development,1,0,0.0,True,False,36.0,0.0044342386686228,0.0802241320261507,0.1981484312410397,False,,,,
GO:0010432,bract development,1,0,0.0,False,True,,,,,,3.0,1.0,0.2082890054802154,False
GO:0062211,root regeneration,1,0,0.0,False,True,,,,,,3.0,1.0,0.2082890054802154,False
GO:0052543,callose deposition in cell wall,2,0,0.0,True,True,16.0,0.0124503627871024,0.0872088064861471,0.2107890583314457,False,26.0,1.0,0.6190293467636729,False
GO:0016998,cell wall macromolecule catabolic process,1,0,0.0,True,False,16.0,-0.0861999606890352,0.0889976117459685,0.2125938266531333,False,,,,
GO:0090558,plant epidermis development,2,0,0.0,True,True,13.0,0.026354754150874,0.0897272325027069,0.2129954044880295,False,262.0,1.0,0.9999999213864,False
GO:0009851,auxin biosynthetic process,2,0,0.0,True,True,22.0,-0.0072672258098243,0.1078839362643055,0.2455498000212976,False,48.0,1.0,0.7582645826921879,False
GO:0080147,root hair cell development,1,0,0.0,True,False,33.0,-0.0072920286651949,0.1088384196984932,0.2458544081974423,False,,,,
GO:0048354,mucilage biosynthetic process involved in seed coat development,1,0,0.0,True,False,23.0,-0.0104344140036087,0.1105205783458238,0.2472170831419743,False,,,,
GO:0009733,response to auxin,2,0,0.0,True,True,323.0,0.0011623501053647,0.1114829904991073,0.2488241801074169,False,373.0,10.0,0.3365236545195714,False
GO:0009833,plant-type primary cell wall biogenesis,1,0,0.0,True,False,28.0,-0.0090656666290991,0.1158767765858889,0.2525519489692452,False,,,,
GO:0051094,positive regulation of developmental process,1,0,0.0,False,True,,,,,,128.0,5.0,0.2570462110834566,False
GO:2000067,regulation of root morphogenesis,1,0,0.0,True,False,27.0,-0.0178639837147502,0.1261388130127071,0.2702974564558011,False,,,,
GO:0010154,fruit development,2,0,0.0,True,True,32.0,0.006454420380568,0.2916468312885653,0.4821390079648891,False,590.0,15.0,0.2862885915044422,False
GO:0009909,regulation of flower development,2,0,0.0,True,True,96.0,0.0039079649450148,0.1371129040291706,0.2878237183236986,False,135.0,3.0,0.6527494084489345,False
GO:0048443,stamen development,2,0,0.0,True,True,23.0,0.0,0.1510023053978037,0.3075719906114056,False,83.0,2.0,0.6594570379818447,False
GO:0050793,regulation of developmental process,2,0,0.0,True,True,20.0,0.0158409115470227,0.1552616143869144,0.3129779578550449,False,697.0,16.0,0.3792487209398357,False
GO:0048767,root hair elongation,1,0,0.0,True,False,59.0,-0.021342119813221,0.1659297602563912,0.3254776066567675,False,,,,
GO:0048439,flower morphogenesis,1,0,0.0,False,True,,,,,,7.0,1.0,0.3365236545195714,False
GO:0048638,regulation of developmental growth,1,0,0.0,False,True,,,,,,151.0,5.0,0.3418735319524454,False
GO:0060688,regulation of morphogenesis of a branching structure,1,0,0.0,False,True,,,,,,8.0,1.0,0.3549343415787025,False
GO:0090567,reproductive shoot system development,1,0,0.0,False,True,,,,,,486.0,12.0,0.3590848040073952,False
GO:0090351,seedling development,2,0,0.0,True,True,33.0,-0.0078923873103159,0.9592552728113272,0.9781480539181324,False,202.0,6.0,0.3625366993806358,False
GO:0009629,response to gravity,1,0,0.0,True,False,11.0,-0.0168591502151221,0.2037130229094067,0.3748334336079397,False,,,,
GO:0009630,gravitropism,1,0,0.0,True,False,50.0,0.0065974155371787,0.2055417534287318,0.3757214847621979,False,,,,
GO:0010229,inflorescence development,1,0,0.0,True,False,19.0,-0.030664138123875,0.2055217990709306,0.3757214847621979,False,,,,
GO:0009958,positive gravitropism,1,0,0.0,True,False,46.0,0.0205711041417614,0.2088802518733387,0.3793741236754666,False,,,,
GO:0048831,regulation of shoot system development,2,0,0.0,True,True,12.0,0.0060128739733202,0.2203185088607009,0.3906194452583153,False,144.0,3.0,0.6776073452201341,False
GO:2000012,regulation of auxin polar transport,1,0,0.0,True,False,49.0,0.004619583896371,0.2205850984988133,0.3906194452583153,False,,,,
GO:0021700,developmental maturation,1,0,0.0,False,True,,,,,,221.0,6.0,0.4404838286569083,False
GO:0010100,negative regulation of photomorphogenesis,1,0,0.0,True,False,12.0,-0.0098947326777827,0.29829153812695,0.4878199140036421,False,,,,
GO:1900140,regulation of seedling development,2,0,0.0,True,True,13.0,0.029393151703069,0.2977008137017003,0.4878199140036421,False,96.0,2.0,0.7130279968635349,False
GO:0052482,defense response by cell wall thickening,1,0,0.0,False,True,,,,,,16.0,1.0,0.5123800016022472,False
