GO_ID,GO_term,gene_set_size,median_effect_in_set,median_effect_outside_set,effect_difference,statistic,p_value,adjusted_p_value,significant
GO:0048443,stamen development,23,0.0002877213158555,0.0002877213158555,0.0,435491.0,0.1510023053978037,0.30757199061140567,False
GO:0005513,detection of calcium ion,14,-0.029811147578054448,0.0002877213158555,-0.030098868893909947,175997.0,0.1512374938151587,0.30757199061140567,False
GO:0080113,regulation of seed growth,12,-0.00742179510832715,0.0002877213158555,-0.00770951642418265,147442.0,0.15137366596757415,0.30757199061140567,False
GO:0008360,regulation of cell shape,17,-0.0113315958973089,0.0002877213158555,-0.0116193172131644,219518.0,0.1527673431039323,0.30978665997218874,False
GO:0009308,amine metabolic process,10,-0.029740456001686497,0.0002877213158555,-0.030028177317541996,119509.0,0.15447006490779158,0.31214827875088474,False
GO:0006863,purine nucleobase transport,21,-0.0029020537286266,0.0002877213158555,-0.0031897750444821,278202.0,0.1545440007541145,0.31214827875088474,False
GO:0050793,regulation of developmental process,20,0.0161286328628782,0.0002877213158555,0.0158409115470227,382144.0,0.15526161438691444,0.3129779578550449,False
GO:0048193,Golgi vesicle transport,13,0.0238509453742216,0.0002877213158555,0.0235632240583661,257598.0,0.15615730279823511,0.31416262101420084,False
GO:0009767,photosynthetic electron transport chain,17,-0.0089786262318084,0.0002877213158555,-0.0092663475476639,220165.0,0.15765761321213012,0.31655662495348963,False
GO:0002229,defense response to oomycetes,75,-0.0024362856322248,0.0002877213158555,-0.0027240069480803,1095206.0,0.15918114214795842,0.31873165981163826,False
GO:0010205,photoinhibition,11,-0.0170667681238139,0.0002877213158555,-0.0173544894396694,134128.0,0.159431076684592,0.31873165981163826,False
GO:0070585,protein localization to mitochondrion,16,0.029507686471325498,0.0002877213158555,0.02921996515547,310785.0,0.1596783119252423,0.31873165981163826,False
GO:0046470,phosphatidylcholine metabolic process,11,-0.0125125769405242,0.0002877213158555,-0.012800298256379699,134230.0,0.16041141510353363,0.3195696160265709,False
GO:0009649,entrainment of circadian clock,13,-0.0239675121403514,0.0002877213158555,-0.0242552334562069,162935.0,0.16219165529525603,0.32153784621145104,False
GO:0045487,gibberellin catabolic process,11,-0.0251047696113797,0.0002877213158555,-0.0253924909272352,134420.0,0.16224967345585328,0.32153784621145104,False
GO:1902326,positive regulation of chlorophyll biosynthetic process,10,-0.0271110429292798,0.0002877213158555,-0.0273987642451353,120296.0,0.16234508901852673,0.32153784621145104,False
GO:0009231,riboflavin biosynthetic process,11,0.0215486776498861,0.0002877213158555,0.0212609563340306,220699.0,0.16380018617412306,0.3232969843630909,False
GO:0045332,phospholipid translocation,17,0.0219926290419796,0.0002877213158555,0.0217049077261241,327999.0,0.16386719697619412,0.3232969843630909,False
GO:0006545,glycine biosynthetic process,11,-0.0304935996531493,0.0002877213158555,-0.0307813209690048,134650.0,0.16449614909969779,0.32391133606504197,False
GO:0090333,regulation of stomatal closure,44,-0.0110753930036398,0.0002877213158555,-0.011363114319495299,624062.0,0.16531083858223938,0.32488835328301385,False
GO:0048767,root hair elongation,59,-0.0210543984973655,0.0002877213158555,-0.021342119813221,852226.0,0.16592976025639128,0.3254776066567675,False
GO:0046654,tetrahydrofolate biosynthetic process,12,-0.00925716555718265,0.0002877213158555,-0.00954488687303815,149253.0,0.16800987234686815,0.3287922435252523,False
GO:0010038,response to metal ion,22,-0.011381284579068649,0.0002877213158555,-0.011669005894924148,294910.0,0.1682642658040997,0.3287922435252523,False
GO:0045087,innate immune response,68,0.0062849921655630005,0.0002877213158555,0.0059972708497075,1201591.0,0.17006962202304154,0.33168454008317855,False
GO:0010197,polar nucleus fusion,30,0.0035023292702862,0.0002877213158555,0.0032146079544307,554017.0,0.17138607690715213,0.3336141191704107,False
GO:0019827,stem cell population maintenance,11,0.0251156909949579,0.0002877213158555,0.0248279696791024,219880.0,0.17196410339914692,0.3341016866040569,False
GO:0009267,cellular response to starvation,10,0.025709394427862,0.0002877213158555,0.0254216731120065,201409.0,0.17584883407504792,0.3409996402215758,False
GO:0045036,protein targeting to chloroplast,22,0.01345393083702555,0.0002877213158555,0.013166209521170051,414211.0,0.176849464550611,0.3422123027857644,False
GO:0045489,pectin biosynthetic process,43,-0.0178741555668368,0.0002877213158555,-0.018161876882692298,611257.0,0.17722440630221237,0.3422123027857644,False
GO:0007163,establishment or maintenance of cell polarity,13,-0.0424357968463033,0.0002877213158555,-0.0427235181621588,164613.0,0.17771502957127927,0.3422123027857644,False
GO:0009970,cellular response to sulfate starvation,13,0.0621788968517999,0.0002877213158555,0.0618911755359444,255206.0,0.17799271223835267,0.3422123027857644,False
GO:0009723,response to ethylene,113,0.003655619196212,0.0002877213158555,0.0033678978803565,1952321.0,0.17815169880317738,0.3422123027857644,False
GO:0015908,fatty acid transport,12,0.0245504403320332,0.0002877213158555,0.0242627190161777,237041.0,0.18047080623010303,0.3460154555539569,False
GO:0034314,Arp2/3 complex-mediated actin nucleation,10,-0.00625588678906455,0.0002877213158555,-0.00654360810492005,122054.0,0.18102489967818547,0.3461285175018463,False
GO:0010118,stomatal movement,36,-0.005584131737246751,0.0002877213158555,-0.005871853053102251,506142.0,0.18120845916273132,0.3461285175018463,False
GO:0000160,phosphorelay signal transduction system,58,0.00308634970750515,0.0002877213158555,0.00279862839164965,1029876.0,0.1824918458739384,0.3479283790493779,False
GO:0016192,vesicle-mediated transport,213,-0.0036677278044997,0.0002877213158555,-0.0039554491203551995,3237524.0,0.1828422382741185,0.34794605044701654,False
GO:0048358,mucilage pectin biosynthetic process,11,-0.0178741555668368,0.0002877213158555,-0.018161876882692298,136584.0,0.1843206836833915,0.34845975469002655,False
GO:0045493,xylan catabolic process,20,-0.00696975449791625,0.0002877213158555,-0.00725747581377175,267543.0,0.18434972678178418,0.34845975469002655,False
GO:0033384,geranyl diphosphate biosynthetic process,13,0.0152253492054355,0.0002877213158555,0.01493762788958,254538.0,0.18447869365942582,0.34845975469002655,False
GO:0045337,"trans, trans-farnesyl diphosphate biosynthetic process",13,0.0152253492054355,0.0002877213158555,0.01493762788958,254538.0,0.18447869365942582,0.34845975469002655,False
GO:0090307,mitotic spindle assembly,13,0.0219291903839148,0.0002877213158555,0.0216414690680593,254456.0,0.1852867799899438,0.3493392155078423,False
GO:0005982,starch metabolic process,15,0.0202796363084556,0.0002877213158555,0.019991914992600102,289799.0,0.18749752628476246,0.3528551232665271,False
GO:0006541,L-glutamine metabolic process,17,0.0083611049818521,0.0002877213158555,0.008073383665996602,325091.0,0.18799508233652595,0.35313993367082225,False
GO:0009691,cytokinin biosynthetic process,25,-0.0039768858296123,0.0002877213158555,-0.0042646071454678,342422.0,0.18970417957696029,0.35569533670680054,False
GO:0015986,proton motive force-driven ATP synthesis,21,-0.0122215331689802,0.0002877213158555,-0.012509254484835699,283056.0,0.19018079996193848,0.3559347081856463,False
GO:0006346,DNA methylation-dependent constitutive heterochromatin formation,16,0.00927665952469555,0.0002877213158555,0.008988938208840051,306944.0,0.1925199230065885,0.3596526034189016,False
GO:0006694,steroid biosynthetic process,11,0.0288720785504697,0.0002877213158555,0.0285843572346142,217611.0,0.19616748504756487,0.3657967728492069,False
GO:0046685,response to arsenic-containing substance,16,0.01633017508958875,0.0002877213158555,0.01604245377373325,306488.0,0.1967267959299528,0.3661703135922479,False
GO:0009736,cytokinin-activated signaling pathway,69,0.0002877213158555,0.0002877213158555,0.0,1012614.0,0.19775910837219846,0.36742129424342884,False
GO:0030244,cellulose biosynthetic process,47,-0.0067771026935247,0.0002877213158555,-0.0070648240093802,676188.0,0.19948576143458596,0.36995541211505034,False
GO:0010230,alternative respiration,11,0.0140966544538601,0.0002877213158555,0.013808933138004601,217168.0,0.20117092168091388,0.37240352107900576,False
GO:0006417,regulation of translation,18,0.01294047529462165,0.0002877213158555,0.01265275397876615,341123.0,0.2016708461983434,0.37265265058389546,False
GO:0009629,response to gravity,11,-0.0165714288992667,0.0002877213158555,-0.016859150215122198,138332.0,0.20371302290940674,0.37483343360793975,False
GO:0009864,"induced systemic resistance, jasmonic acid mediated signaling pathway",17,0.0233424934855362,0.0002877213158555,0.0230547721696807,323328.0,0.2038458719063425,0.37483343360793975,False
GO:0006970,response to osmotic stress,179,-0.0056127019358951,0.0002877213158555,-0.0059004232517506,2717624.0,0.20410474436242076,0.37483343360793975,False
GO:0009846,pollen germination,71,0.0039510531496077,0.0002877213158555,0.0036633318337522,1244084.0,0.20432096969217106,0.37483343360793975,False
GO:0010229,inflorescence development,19,-0.0303764168080196,0.0002877213158555,-0.030664138123875098,255308.0,0.2055217990709306,0.3757214847621979,False
GO:0009630,gravitropism,50,0.00688513685303425,0.0002877213158555,0.00659741553717875,889889.0,0.20554175342873182,0.3757214847621979,False
GO:0006506,GPI anchor biosynthetic process,22,-0.008862327406270151,0.0002877213158555,-0.00915004872212565,299852.0,0.20594953882674694,0.3757934339951375,False
GO:1903830,magnesium ion transmembrane transport,20,-0.013685728979808,0.0002877213158555,-0.013973450295663499,270357.0,0.20767399770141892,0.3782633529561559,False
