Gene,expression_range
AT1G01010,0.33578955253223264
AT1G01020,0.5482767043419882
AT1G01030,0.3556739376651509
AT1G01040,0.4059481222923248
AT1G01046,0.1019935489625394
AT1G01050,0.6737911256872704
AT1G01060,0.6074124302419559
AT1G01070,0.9511357950543006
AT1G01080,0.5480085270869721
AT1G01090,0.8213953209313971
AT1G01100,0.6537851480094266
AT1G01110,0.45427713920394586
AT1G01120,0.3797958023965281
AT1G01130,0.2697387587230644
AT1G01140,0.5014538243151787
AT1G01150,0.1610417876165464
AT1G01160,0.6613472543304826
AT1G01170,0.6819326741729298
AT1G01180,0.3974442336054173
AT1G01183,0.2369302441774614
AT1G01190,0.6925195928384035
AT1G01200,0.4236905173811816
AT1G01210,0.6869515884740323
AT1G01220,0.46834234538540065
AT1G01225,0.5467703431402272
AT1G01230,0.5103433173066201
AT1G01240,0.4283525376241355
AT1G01250,0.1066470560095756
AT1G01260,0.35190214407603243
AT1G01270,0.1022361431632837
AT1G01280,0.1022361431632837
AT1G01290,0.6428321641721728
AT1G01300,0.7717532221494732
AT1G01305,0.1127750569145306
AT1G01310,0.2666951179477235
AT1G01320,0.4937084857716131
AT1G01335,0.1022361431632837
AT1G01340,0.5860822049447337
AT1G01350,0.5421719780699102
AT1G01355,0.1734607906853523
AT1G01360,0.4668042999382358
AT1G01370,0.3988913652000689
AT1G01380,0.2132178000017146
AT1G01390,0.1022361431632837
AT1G01400,0.13147187192490628
AT1G01410,0.1022361431632837
AT1G01420,0.38307413416882763
AT1G01430,0.6251894529573041
AT1G01440,0.2855720121109865
AT1G01448,0.7228423146476672
AT1G01450,0.3177480590436677
AT1G01453,0.3427891128376437
AT1G01460,0.1022361431632837
AT1G01470,0.7658322268282451
AT1G01480,0.3520520759613485
AT1G01490,0.6203654028666323
AT1G01500,0.3889885077194025
AT1G01510,0.6144334968996338
AT1G01520,0.2636359798237732
AT1G01530,0.1086263273482466
AT1G01540,0.30223119369737916
AT1G01550,0.848931364120445
AT1G01560,0.21159403683981517
AT1G01570,0.2993500159285042
AT1G01580,1.6075499735219665
AT1G01590,0.12397874312476509
AT1G01600,0.46739840345636496
AT1G01610,0.8828758246415186
AT1G01620,1.1003112225673837
AT1G01630,0.8848335394399829
AT1G01640,0.6936231315029935
AT1G01650,0.5768687684183886
AT1G01660,0.3921276648575821
AT1G01670,0.48318123213216724
AT1G01680,0.10791087632342759
AT1G01690,0.3276647055236281
AT1G01695,0.1574802423670437
AT1G01700,0.2633980333863773
AT1G01710,0.4700685435109119
AT1G01715,0.34879572973424755
AT1G01720,1.0921193096820718
AT1G01725,0.5953775241718403
AT1G01730,0.368758155753639
AT1G01740,0.28334229687660784
AT1G01750,0.9680937573153923
AT1G01760,0.4780844870176726
AT1G01770,0.44020713641436765
AT1G01780,0.45190872684271877
AT1G01790,0.4436998498975536
AT1G01800,0.6784173168058212
AT1G01810,0.2365063915555811
AT1G01820,0.6136099141399611
AT1G01830,0.30781221442389434
AT1G01840,0.31437429464852723
AT1G01860,0.3590182534742519
AT1G01870,0.1477211663664761
AT1G01880,0.2556012164891588
AT1G01890,0.13710881267564518
AT1G01900,0.43541870957079776
AT1G01910,0.6123374839747782
AT1G01920,0.7985492169116619
AT1G01930,0.32795905203857667
AT1G01940,0.502757495471523
AT1G01950,0.2702474993366381
AT1G01960,0.6220524153025064
AT1G01970,0.3031164858986996
