GO_ID,GO_term,p_value,adjusted_p_value,significant,term_size,query_size,intersection_size,effective_domain_size,precision,recall,contributing_genes,evidence_codes,description,parents,source,organism,correction_method
GO:0035670,plant-type ovary development,1.0,1.0,False,57,1930,8,21844,0.004145077720207254,0.14035087719298245,AT1G17560;AT1G68990;AT5G49030;AT4G25520;AT5G42630;AT1G25350;AT3G55200;AT4G36920,AT1G17560:IMP;AT1G68990:IMP;AT5G49030:IMP;AT4G25520:IMP;AT5G42630:IMP|IGI;AT1G25350:IMP;AT3G55200:IMP;AT4G36920:IGI,"""The process whose specific outcome is the progression of an ovary that produces an ovule over time, from its formation to the mature structure. The ovary is the enlarged basal portion of a carpel and matures into a fruit. An ovule is the multicellular structure that gives rise to and contains the female reproductive cells, and develops into a seed."" [GOC:bf, GOC:tb, ISBN:0879015322]",GO:0048440;GO:0048608,GO:BP,athaliana,g_SCS
GO:0040034,"regulation of development, heterochronic",1.0,1.0,False,48,1930,6,21844,0.0031088082901554403,0.125,AT1G35560;AT3G06400;AT1G02740;AT5G43270;AT5G62430;AT1G10480,AT1G35560:IMP;AT3G06400:IMP;AT1G02740:IMP;AT5G43270:IMP;AT5G62430:IMP;AT1G10480:IMP,"""Any process that modulates the consistent predetermined time point at which an integrated living unit or organism progresses from an initial condition to a later condition and the rate at which this time point is reached."" [PMID:9442909]",GO:0050793,GO:BP,athaliana,g_SCS
GO:0042335,cuticle development,1.0,1.0,False,22,1930,4,21844,0.002072538860103627,0.18181818181818182,AT4G28110;AT1G17840;AT3G43720;AT1G64670,AT4G28110:IMP;AT1G17840:IMP;AT3G43720:IMP;AT1G64670:IMP,"""The chemical reactions and pathways resulting in the formation of a cuticle, the outer layer of some animals and plants, which acts to prevent water loss."" [ISBN:0192800825]",GO:0007275;GO:0048856,GO:BP,athaliana,g_SCS
GO:0042545,cell wall modification,1.0,1.0,False,144,1930,18,21844,0.00932642487046632,0.125,AT2G27370;AT2G36100;AT3G11550;AT4G01630;AT1G70370;AT2G18800;AT2G47670;AT1G18570;AT1G53840;AT5G15290;AT5G06200;AT5G09760;AT5G51500;AT5G19730;AT1G19300;AT2G34070;AT3G10720;AT4G26850,AT2G27370:IMP;AT2G36100:IMP;AT3G11550:IMP;AT4G01630:TAS;AT1G70370:IMP;AT2G18800:IMP;AT2G47670:IMP;AT1G18570:IMP;AT1G53840:IEA;AT5G15290:IMP;AT5G06200:IMP;AT5G09760:IEA;AT5G51500:IEA;AT5G19730:IEA;AT1G19300:IMP;AT2G34070:IMP;AT3G10720:IEA;AT4G26850:IMP,"""The series of events leading to chemical and structural alterations of an existing cell wall that can result in loosening, increased extensibility or disassembly."" [GOC:jl]",GO:0071555,GO:BP,athaliana,g_SCS
GO:0042546,cell wall biogenesis,1.0,1.0,False,240,1930,26,21844,0.013471502590673576,0.10833333333333334,AT5G67210;AT2G36870;AT1G14720;AT5G41040;AT2G36570;AT2G18800;AT4G28850;AT3G21190;AT1G01200;AT2G38080;AT1G79620;AT2G28315;AT3G55340;AT5G03170;AT2G28110;AT1G27440;AT4G39990;AT1G19300;AT4G33330;AT4G37800;AT1G78580;AT5G57560;AT1G30230;AT1G73140;AT5G67230;AT3G55990,AT5G67210:IMP|IEA;AT2G36870:IEA;AT1G14720:IEA;AT5G41040:IMP;AT2G36570:IMP;AT2G18800:IEA;AT4G28850:IEA;AT3G21190:IMP;AT1G01200:IMP;AT2G38080:IMP;AT1G79620:IMP;AT2G28315:IGI;AT3G55340:IDA;AT5G03170:IMP;AT2G28110:IMP|TAS;AT1G27440:IMP;AT4G39990:IMP;AT1G19300:IMP;AT4G33330:IDA|IMP|IGI;AT4G37800:IEA;AT1G78580:IMP;AT5G57560:IEA;AT1G30230:IMP;AT1G73140:IMP;AT5G67230:IMP;AT3G55990:IDA,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cell wall. Includes biosynthesis of constituent macromolecules, such as proteins and polysaccharides, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component. A cell wall is the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."" [GOC:jl, GOC:mah, GOC:mtg_sensu, ISBN:0198506732]",GO:0044085;GO:0071554,GO:BP,athaliana,g_SCS
GO:0042547,cell wall modification involved in multidimensional cell growth,1.0,1.0,False,8,1930,1,21844,0.0005181347150259067,0.125,AT1G70370,AT1G70370:IMP,"""The series of events resulting in chemical or structural changes to existing cell walls and contribute to multidimensional cell growth."" [GOC:dph, GOC:jl, GOC:tb]",GO:0009825;GO:0042545,GO:BP,athaliana,g_SCS
GO:0044036,cell wall macromolecule metabolic process,1.0,1.0,False,99,1930,14,21844,0.007253886010362694,0.1414141414141414,AT5G67210;AT2G36870;AT5G41040;AT3G21190;AT1G56680;AT2G28110;AT1G27440;AT1G19300;AT3G16920;AT4G33330;AT3G12500;AT1G73140;AT5G67230;AT3G55990,AT5G67210:IMP|IEA;AT2G36870:IMP;AT5G41040:IMP;AT3G21190:IMP;AT1G56680:IEA;AT2G28110:IMP|TAS;AT1G27440:IMP;AT1G19300:IMP;AT3G16920:IEA;AT4G33330:IDA|IMP|IGI;AT3G12500:IEA;AT1G73140:IMP;AT5G67230:IMP;AT3G55990:IDA,"""The chemical reactions and pathways involving macromolecules forming, or destined to form, part of the cell wall. A cell wall is a rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."" [GOC:jl, GOC:mah]",GO:0043170;GO:0071554,GO:BP,athaliana,g_SCS
GO:0044038,cell wall macromolecule biosynthetic process,1.0,1.0,False,65,1930,10,21844,0.0051813471502590676,0.15384615384615385,AT5G67210;AT5G41040;AT3G21190;AT2G28110;AT1G27440;AT1G19300;AT4G33330;AT1G73140;AT5G67230;AT3G55990,AT5G67210:IMP|IEA;AT5G41040:IMP;AT3G21190:IMP;AT2G28110:IMP|TAS;AT1G27440:IMP;AT1G19300:IMP;AT4G33330:IDA|IMP|IGI;AT1G73140:IMP;AT5G67230:IMP;AT3G55990:IDA,"""The chemical reactions and pathways resulting in the formation of a macromolecule destined to form part of a cell wall."" [GOC:go_curators]",GO:0009059;GO:0042546;GO:0044036,GO:BP,athaliana,g_SCS
GO:0045682,regulation of epidermis development,1.0,1.0,False,4,1930,1,21844,0.0005181347150259067,0.25,AT3G07050,AT3G07050:IMP,"""Any process that modulates the frequency, rate or extent of epidermis development."" [GOC:go_curators]",GO:0008544;GO:0050793,GO:BP,athaliana,g_SCS
GO:0045995,regulation of embryonic development,1.0,1.0,False,15,1930,1,21844,0.0005181347150259067,0.06666666666666667,AT3G07050,AT3G07050:IMP,"""Any process that modulates the frequency, rate or extent of embryonic development."" [GOC:go_curators]",GO:0009790;GO:2000026,GO:BP,athaliana,g_SCS
