Gene,GO_ID,GO_term
AT1G59820,GO:0002237,response to molecule of bacterial origin
AT1G59820,GO:0002238,response to molecule of fungal origin
AT1G59820,GO:0006893,Golgi to plasma membrane transport
AT1G59820,GO:0008104,intracellular protein localization
AT1G59820,GO:0009860,pollen tube growth
AT1G59820,GO:0010183,pollen tube guidance
AT1G59820,GO:0015914,phospholipid transport
AT1G59820,GO:0016192,vesicle-mediated transport
AT1G59820,GO:0042742,defense response to bacterium
AT1G59820,GO:0045332,phospholipid translocation
AT1G59820,GO:0048194,Golgi vesicle budding
AT1G59820,GO:0048364,root development
AT1G59820,GO:0048367,shoot system development
AT1G59820,GO:0050832,defense response to fungus
AT1G59820,GO:0140331,aminophospholipid translocation
AT1G59820,GO:1901703,protein localization involved in auxin polar transport
AT1G59830,GO:0000278,mitotic cell cycle
AT1G59833,GO:0008150,biological_process
AT1G59835,GO:0006970,response to osmotic stress
AT1G59835,GO:0006995,cellular response to nitrogen starvation
AT1G59835,GO:0007165,signal transduction
AT1G59835,GO:0048364,root development
AT1G59835,GO:0048831,regulation of shoot system development
AT1G59835,GO:0060359,response to ammonium ion
AT1G59835,GO:0090548,response to nitrate starvation
AT1G59835,GO:1901371,regulation of leaf morphogenesis
AT1G59835,GO:1902025,nitrate import
AT1G59835,GO:2000280,regulation of root development
AT1G59840,GO:0010190,cytochrome b6f complex assembly
AT1G59850,GO:0008150,biological_process
AT1G59860,GO:0006457,protein folding
AT1G59860,GO:0006970,response to osmotic stress
AT1G59860,GO:0009408,response to heat
AT1G59860,GO:0009651,response to salt stress
AT1G59860,GO:0042542,response to hydrogen peroxide
AT1G59860,GO:0051259,protein complex oligomerization
AT1G59860,GO:0071456,cellular response to hypoxia
AT1G59865,GO:0008150,biological_process
AT1G59870,GO:0002229,defense response to oomycetes
AT1G59870,GO:0002237,response to molecule of bacterial origin
AT1G59870,GO:0002238,response to molecule of fungal origin
AT1G59870,GO:0002239,response to oomycetes
AT1G59870,GO:0002240,response to molecule of oomycetes origin
AT1G59870,GO:0009408,response to heat
AT1G59870,GO:0009414,response to water deprivation
AT1G59870,GO:0009617,response to bacterium
AT1G59870,GO:0009620,response to fungus
AT1G59870,GO:0009626,plant-type hypersensitive response
AT1G59870,GO:0009627,systemic acquired resistance
AT1G59870,GO:0009651,response to salt stress
AT1G59870,GO:0009733,response to auxin
AT1G59870,GO:0009804,coumarin metabolic process
AT1G59870,GO:0009926,auxin polar transport
AT1G59870,GO:0010200,response to chitin
AT1G59870,GO:0010315,auxin export across the plasma membrane
AT1G59870,GO:0010928,regulation of auxin mediated signaling pathway
AT1G59870,GO:0015691,cadmium ion transport
AT1G59870,GO:0031348,negative regulation of defense response
AT1G59870,GO:0042344,indole glucosinolate catabolic process
AT1G59870,GO:0042742,defense response to bacterium
AT1G59870,GO:0046104,thymidine metabolic process
AT1G59870,GO:0048364,root development
AT1G59870,GO:0048825,cotyledon development
AT1G59870,GO:0050832,defense response to fungus
AT1G59870,GO:0052544,defense response by callose deposition in cell wall
AT1G59870,GO:0055078,sodium ion homeostasis
AT1G59870,GO:0055085,transmembrane transport
AT1G59870,GO:0070574,cadmium ion transmembrane transport
AT1G59870,GO:0071366,cellular response to indolebutyric acid stimulus
AT1G59870,GO:0080147,root hair cell development
AT1G59870,GO:0140352,export from cell
AT1G59870,GO:0140426,pathogen-associated molecular pattern receptor signaling pathway
AT1G59870,GO:1990748,cellular detoxification
AT1G59870,GO:2000023,regulation of lateral root development
AT1G59870,GO:2000071,regulation of defense response by callose deposition
AT1G59885,GO:0008150,biological_process
AT1G59890,GO:0000122,negative regulation of transcription by RNA polymerase II
AT1G59890,GO:0006355,regulation of DNA-templated transcription
AT1G59900,GO:0006086,pyruvate decarboxylation to acetyl-CoA
AT1G59900,GO:0046686,response to cadmium ion
AT1G59910,GO:0007015,actin filament organization
AT1G59910,GO:0030036,actin cytoskeleton organization
AT1G59910,GO:0045010,actin nucleation
AT1G59920,GO:0006357,regulation of transcription by RNA polymerase II
AT1G59930,GO:0006357,regulation of transcription by RNA polymerase II
AT1G59940,GO:0000160,phosphorelay signal transduction system
AT1G59940,GO:0006355,regulation of DNA-templated transcription
AT1G59940,GO:0007623,circadian rhythm
AT1G59940,GO:0009735,response to cytokinin
AT1G59940,GO:0009736,cytokinin-activated signaling pathway
AT1G59940,GO:0010017,red or far-red light signaling pathway
AT1G59940,GO:0010114,response to red light
AT1G59940,GO:0010161,red light signaling pathway
AT1G59950,GO:0009710,tropane alkaloid biosynthetic process
AT1G59960,GO:0008150,biological_process
AT1G59960,GO:0009710,tropane alkaloid biosynthetic process
AT1G59970,GO:0006508,proteolysis
AT1G59970,GO:0030198,extracellular matrix organization
AT1G59970,GO:0030574,collagen catabolic process
AT1G59970,GO:0050832,defense response to fungus
AT1G59980,GO:0009737,response to abscisic acid
AT1G59990,GO:0008150,biological_process
AT1G60000,GO:1901259,chloroplast rRNA processing
AT1G60010,GO:0009620,response to fungus
AT1G60025,,
AT1G60030,GO:0055085,transmembrane transport
AT1G60040,GO:0006357,regulation of transcription by RNA polymerase II
AT1G60040,GO:0045944,positive regulation of transcription by RNA polymerase II
AT1G60050,GO:0055085,transmembrane transport
AT1G60060,GO:0008150,biological_process
AT1G60070,GO:0006886,intracellular protein transport
AT1G60070,GO:0016192,vesicle-mediated transport
AT1G60072,,
AT1G60073,,
AT1G60080,GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
AT1G60080,GO:0006396,RNA processing
AT1G60080,GO:0006401,RNA catabolic process
AT1G60080,GO:0016075,rRNA catabolic process
AT1G60080,GO:0034473,U1 snRNA 3'-end processing
AT1G60080,GO:0034475,U4 snRNA 3'-end processing
AT1G60080,GO:0034476,U5 snRNA 3'-end processing
AT1G60080,GO:0071028,nuclear mRNA surveillance
AT1G60080,GO:0071035,nuclear polyadenylation-dependent rRNA catabolic process
AT1G60080,GO:0071038,TRAMP-dependent tRNA surveillance pathway
AT1G60090,GO:0005975,carbohydrate metabolic process
AT1G60095,GO:0008150,biological_process
AT1G60110,GO:0008150,biological_process
AT1G60130,GO:0009651,response to salt stress
AT1G60140,GO:0005991,trehalose metabolic process
AT1G60140,GO:0005992,trehalose biosynthetic process
AT1G60160,GO:0048825,cotyledon development
AT1G60160,GO:0071805,potassium ion transmembrane transport
AT1G60160,GO:1990573,potassium ion import across plasma membrane
AT1G60170,GO:0000244,spliceosomal tri-snRNP complex assembly
AT1G60170,GO:0000398,"mRNA splicing, via spliceosome"
AT1G60170,GO:0006346,DNA methylation-dependent constitutive heterochromatin formation
AT1G60170,GO:0008380,RNA splicing
AT1G60170,GO:0009409,response to cold
AT1G60170,GO:0009845,seed germination
AT1G60170,GO:0070417,cellular response to cold
AT1G60190,GO:0006511,ubiquitin-dependent protein catabolic process
AT1G60190,GO:0010029,regulation of seed germination
AT1G60190,GO:0016567,protein ubiquitination
AT1G60200,GO:0006397,mRNA processing
AT1G60200,GO:0009414,response to water deprivation
AT1G60200,GO:0009737,response to abscisic acid
AT1G60200,GO:0048024,"regulation of mRNA splicing, via spliceosome"
AT1G60220,GO:0006508,proteolysis
AT1G60220,GO:0009651,response to salt stress
AT1G60220,GO:0010228,vegetative to reproductive phase transition of meristem
AT1G60220,GO:0016926,protein desumoylation
AT1G60230,GO:0006364,rRNA processing
AT1G60230,GO:0030488,tRNA methylation
AT1G60230,GO:0070475,rRNA base methylation
AT1G60240,GO:0006351,DNA-templated transcription
AT1G60240,GO:0006355,regulation of DNA-templated transcription
AT1G60250,GO:0006355,regulation of DNA-templated transcription
AT1G60260,,
AT1G60270,GO:0005975,carbohydrate metabolic process
AT1G60280,GO:0006351,DNA-templated transcription
AT1G60280,GO:0006355,regulation of DNA-templated transcription
AT1G60300,GO:0006351,DNA-templated transcription
AT1G60300,GO:0006355,regulation of DNA-templated transcription
AT1G60320,GO:0006952,defense response
AT1G60320,GO:0007165,signal transduction
AT1G60340,GO:0006351,DNA-templated transcription
AT1G60340,GO:0006355,regulation of DNA-templated transcription
AT1G60350,GO:0006351,DNA-templated transcription
AT1G60350,GO:0006355,regulation of DNA-templated transcription
AT1G60360,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
AT1G60370,GO:0048364,root development
AT1G60380,GO:0006351,DNA-templated transcription
AT1G60380,GO:0006355,regulation of DNA-templated transcription
AT1G60390,GO:0008150,biological_process
AT1G60400,GO:0008150,biological_process
AT1G60410,GO:0008150,biological_process
AT1G60420,GO:0009860,pollen tube growth
AT1G60420,GO:0010183,pollen tube guidance
AT1G60420,GO:0080092,regulation of pollen tube growth
AT1G60420,GO:0098869,cellular oxidant detoxification
AT1G60430,GO:0007015,actin filament organization
AT1G60430,GO:0034314,Arp2/3 complex-mediated actin nucleation
AT1G60440,GO:0015937,coenzyme A biosynthetic process
AT1G60450,GO:0006012,galactose metabolic process
AT1G60450,GO:0006979,response to oxidative stress
AT1G60460,GO:0007131,reciprocal meiotic recombination
AT1G60460,GO:0042138,meiotic DNA double-strand break formation
AT1G60460,GO:0048235,pollen sperm cell differentiation
AT1G60460,GO:0048314,embryo sac morphogenesis
AT1G60460,GO:0065003,protein-containing complex assembly
AT1G60470,GO:0006012,galactose metabolic process
AT1G60470,GO:0006979,response to oxidative stress
AT1G60490,GO:0000045,autophagosome assembly
AT1G60490,GO:0000425,pexophagy
AT1G60490,GO:0006521,regulation of amino acid metabolic process
AT1G60490,GO:0006897,endocytosis
AT1G60490,GO:0009617,response to bacterium
AT1G60490,GO:0009651,response to salt stress
AT1G60490,GO:0009751,response to salicylic acid
AT1G60490,GO:0036092,phosphatidylinositol-3-phosphate biosynthetic process
AT1G60490,GO:0046854,phosphatidylinositol phosphate biosynthetic process
AT1G60490,GO:0048015,phosphatidylinositol-mediated signaling
AT1G60490,GO:0055046,microgametogenesis
AT1G60490,GO:0072593,reactive oxygen species metabolic process
AT1G60490,GO:0090333,regulation of stomatal closure
AT1G60490,GO:1900426,positive regulation of defense response to bacterium
AT1G60490,GO:1902074,response to salt
AT1G60490,GO:2001158,positive regulation of L-proline catabolic process
AT1G60500,GO:0008150,biological_process
AT1G60505,,
AT1G60525,GO:0008150,biological_process
AT1G60530,GO:0008150,biological_process
AT1G60545,GO:0008150,biological_process
AT1G60550,GO:0009234,menaquinone biosynthetic process
AT1G60550,GO:0042372,phylloquinone biosynthetic process
AT1G60560,,
AT1G60570,GO:0008150,biological_process
AT1G60590,GO:0005975,carbohydrate metabolic process
AT1G60600,GO:0009772,photosynthetic electron transport in photosystem II
AT1G60600,GO:0010236,plastoquinone biosynthetic process
AT1G60600,GO:0042372,phylloquinone biosynthetic process
AT1G60610,,
AT1G60620,GO:0006351,DNA-templated transcription
AT1G60625,GO:0007267,cell-cell signaling
AT1G60625,GO:0019722,calcium-mediated signaling
AT1G60625,GO:0060468,prevention of polyspermy
AT1G60630,,
AT1G60640,GO:0008150,biological_process
AT1G60650,GO:0009409,response to cold
AT1G60650,GO:0009414,response to water deprivation
AT1G60650,GO:0009651,response to salt stress
AT1G60650,GO:0045892,negative regulation of DNA-templated transcription
AT1G60650,GO:0048026,"positive regulation of mRNA splicing, via spliceosome"
AT1G60660,GO:0016129,phytosteroid biosynthetic process
AT1G60670,,
AT1G60680,,
AT1G60690,GO:0008150,biological_process
AT1G60700,GO:0045944,positive regulation of transcription by RNA polymerase II
AT1G60710,,
AT1G60720,GO:0008150,biological_process
AT1G60730,,
AT1G60740,GO:0034599,cellular response to oxidative stress
AT1G60740,GO:0042744,hydrogen peroxide catabolic process
AT1G60740,GO:0045454,cell redox homeostasis
AT1G60740,GO:0098869,cellular oxidant detoxification
AT1G60750,GO:0008150,biological_process
AT1G60760,,
AT1G60770,GO:0000963,mitochondrial RNA processing
AT1G60770,GO:0032543,mitochondrial translation
AT1G60770,GO:0080156,mitochondrial mRNA modification
AT1G60770,GO:1902775,mitochondrial large ribosomal subunit assembly
AT1G60780,GO:0006886,intracellular protein transport
AT1G60780,GO:0006892,post-Golgi vesicle-mediated transport
AT1G60780,GO:0006896,Golgi to vacuole transport
AT1G60780,GO:0007034,vacuolar transport
AT1G60780,GO:0016192,vesicle-mediated transport
AT1G60780,GO:0035653,"clathrin-coated vesicle cargo loading, AP-1-mediated"
AT1G60780,GO:0071280,cellular response to copper ion
AT1G60783,GO:0032875,regulation of DNA endoreduplication
AT1G60787,GO:0008150,biological_process
AT1G60790,,
AT1G60800,GO:0007165,signal transduction
AT1G60800,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway
AT1G60800,GO:0007639,homeostasis of number of meristem cells
AT1G60800,GO:0035556,intracellular signal transduction
AT1G60800,GO:0048653,anther development
AT1G60810,GO:0006085,acetyl-CoA biosynthetic process
AT1G60815,GO:0007267,cell-cell signaling
AT1G60815,GO:0019722,calcium-mediated signaling
AT1G60815,GO:0060468,prevention of polyspermy
AT1G60830,GO:0008150,biological_process
AT1G60840,,
AT1G60850,GO:0006351,DNA-templated transcription
AT1G60860,GO:0008150,biological_process
AT1G60860,GO:0030036,actin cytoskeleton organization
AT1G60870,GO:0009555,pollen development
AT1G60870,GO:0009793,embryo development ending in seed dormancy
AT1G60880,GO:0006351,DNA-templated transcription
AT1G60880,GO:0006355,regulation of DNA-templated transcription
AT1G60880,GO:0006357,regulation of transcription by RNA polymerase II
AT1G60880,GO:0045944,positive regulation of transcription by RNA polymerase II
AT1G60890,GO:0046488,phosphatidylinositol metabolic process
AT1G60890,GO:0046854,phosphatidylinositol phosphate biosynthetic process
AT1G60900,GO:0000245,spliceosomal complex assembly
AT1G60900,GO:0000398,"mRNA splicing, via spliceosome"
AT1G60900,GO:0006397,mRNA processing
AT1G60900,GO:0009737,response to abscisic acid
AT1G60910,,
AT1G60913,GO:0019722,calcium-mediated signaling
AT1G60920,GO:0006351,DNA-templated transcription
AT1G60920,GO:0006355,regulation of DNA-templated transcription
AT1G60920,GO:0006357,regulation of transcription by RNA polymerase II
AT1G60920,GO:0045944,positive regulation of transcription by RNA polymerase II
AT1G60930,,
AT1G60940,GO:0006970,response to osmotic stress
AT1G60940,GO:0009651,response to salt stress
AT1G60940,GO:0048527,lateral root development
AT1G60950,GO:0009416,response to light stimulus
AT1G60950,GO:0009643,photosynthetic acclimation
AT1G60950,GO:0009767,photosynthetic electron transport chain
AT1G60950,GO:0022900,electron transport chain
AT1G60960,GO:0006826,iron ion transport
AT1G60960,GO:0006829,zinc ion transport
AT1G60960,GO:0009624,response to nematode
AT1G60960,GO:0030001,metal ion transport
AT1G60960,GO:0034755,iron ion transmembrane transport
AT1G60960,GO:0055085,transmembrane transport
AT1G60960,GO:0071577,zinc ion transmembrane transport
AT1G60970,GO:0006886,intracellular protein transport
AT1G60970,GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
AT1G60970,GO:0006891,intra-Golgi vesicle-mediated transport
AT1G60980,GO:0009416,response to light stimulus
AT1G60980,GO:0009686,gibberellin biosynthetic process
AT1G60983,GO:0007165,signal transduction
AT1G60985,GO:0007165,signal transduction
AT1G60986,GO:0007165,signal transduction
AT1G60987,GO:0007165,signal transduction
AT1G60989,GO:0007165,signal transduction
AT1G60990,GO:0019464,glycine decarboxylation via glycine cleavage system
AT1G60995,GO:0034976,response to endoplasmic reticulum stress
AT1G60995,GO:0106118,regulation of sterol biosynthetic process
AT1G60995,GO:1904294,positive regulation of ERAD pathway
AT1G61000,GO:0000070,mitotic sister chromatid segregation
AT1G61000,GO:0007052,mitotic spindle organization
AT1G61000,GO:0010342,endosperm cellularization
AT1G61000,GO:0045132,meiotic chromosome segregation
AT1G61000,GO:0051315,attachment of mitotic spindle microtubules to kinetochore
AT1G61000,GO:0051383,kinetochore organization
AT1G61010,GO:0006398,mRNA 3'-end processing by stem-loop binding and cleavage
AT1G61010,GO:0016180,snRNA processing
AT1G61030,GO:0000070,mitotic sister chromatid segregation
AT1G61030,GO:0006281,DNA repair
AT1G61030,GO:0007064,mitotic sister chromatid cohesion
AT1G61030,GO:0009793,embryo development ending in seed dormancy
AT1G61030,GO:0010789,meiosis I sister chromatid cohesion
AT1G61030,GO:0045132,meiotic chromosome segregation
AT1G61030,GO:0051177,meiotic sister chromatid cohesion
AT1G61040,GO:0006325,chromatin organization
AT1G61040,GO:0006357,regulation of transcription by RNA polymerase II
AT1G61040,GO:0009910,negative regulation of flower development
AT1G61040,GO:0045893,positive regulation of DNA-templated transcription
AT1G61050,,
AT1G61060,GO:0008150,biological_process
AT1G61065,,
AT1G61070,GO:0006952,defense response
AT1G61080,,
AT1G61090,GO:0008150,biological_process
AT1G61093,GO:0008150,biological_process
AT1G61095,GO:0008150,biological_process
AT1G61097,GO:0008150,biological_process
AT1G61100,,
AT1G61105,GO:0007165,signal transduction
AT1G61110,GO:0006355,regulation of DNA-templated transcription
AT1G61110,GO:0009793,embryo development ending in seed dormancy
AT1G61110,GO:0009831,plant-type cell wall modification involved in multidimensional cell growth
AT1G61110,GO:0010628,positive regulation of gene expression
AT1G61110,GO:0048316,seed development
AT1G61110,GO:0048731,system development
AT1G61120,GO:0000304,response to singlet oxygen
AT1G61120,GO:0009611,response to wounding
AT1G61120,GO:0009617,response to bacterium
AT1G61120,GO:0009753,response to jasmonic acid
AT1G61120,GO:0016102,diterpenoid biosynthetic process
AT1G61120,GO:0016114,terpenoid biosynthetic process
AT1G61120,GO:0080027,response to herbivore
AT1G61130,GO:0006508,proteolysis
AT1G61130,GO:0008150,biological_process
AT1G61140,GO:0006281,DNA repair
AT1G61140,GO:0009553,embryo sac development
AT1G61140,GO:0080188,gene silencing by siRNA-directed DNA methylation
AT1G61150,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
AT1G61160,GO:0008150,biological_process
AT1G61165,GO:0008150,biological_process
AT1G61170,,
AT1G61180,GO:0098542,defense response to other organism
AT1G61190,GO:0098542,defense response to other organism
AT1G61200,GO:0008150,biological_process
AT1G61210,GO:0007019,microtubule depolymerization
AT1G61210,GO:0009651,response to salt stress
AT1G61210,GO:0009737,response to abscisic acid
AT1G61210,GO:0051013,microtubule severing
AT1G61210,GO:0051510,regulation of unidimensional cell growth
AT1G61215,,
AT1G61224,,
AT1G61226,,
AT1G61230,GO:0008150,biological_process
AT1G61240,GO:0008150,biological_process
AT1G61250,GO:0015031,protein transport
AT1G61255,,
AT1G61260,,
AT1G61270,GO:0003333,amino acid transmembrane transport
AT1G61270,GO:0015800,acidic amino acid transport
AT1G61275,,
AT1G61280,GO:0006506,GPI anchor biosynthetic process
AT1G61290,GO:0006886,intracellular protein transport
AT1G61290,GO:0006887,exocytosis
AT1G61290,GO:0006906,vesicle fusion
AT1G61290,GO:0009860,pollen tube growth
AT1G61290,GO:0016192,vesicle-mediated transport
AT1G61290,GO:0061025,membrane fusion
AT1G61300,GO:0098542,defense response to other organism
AT1G61310,GO:0098542,defense response to other organism
AT1G61320,GO:0008150,biological_process
AT1G61330,GO:0008150,biological_process
AT1G61340,GO:0006511,ubiquitin-dependent protein catabolic process
AT1G61340,GO:0006970,response to osmotic stress
AT1G61340,GO:0009611,response to wounding
AT1G61340,GO:0009617,response to bacterium
AT1G61340,GO:0009651,response to salt stress
AT1G61340,GO:0009737,response to abscisic acid
AT1G61340,GO:0009751,response to salicylic acid
AT1G61340,GO:0009753,response to jasmonic acid
AT1G61340,GO:0009961,response to 1-aminocyclopropane-1-carboxylic acid
AT1G61340,GO:0071456,cellular response to hypoxia
AT1G61350,,
AT1G61360,GO:0006955,immune response
AT1G61360,GO:0007165,signal transduction
AT1G61360,GO:0048544,recognition of pollen
AT1G61370,GO:0006955,immune response
AT1G61370,GO:0007165,signal transduction
AT1G61370,GO:0048544,recognition of pollen
AT1G61380,GO:0002221,pattern recognition receptor signaling pathway
AT1G61380,GO:0006955,immune response
AT1G61380,GO:0007165,signal transduction
AT1G61380,GO:0031663,lipopolysaccharide-mediated signaling pathway
AT1G61380,GO:0032497,detection of lipopolysaccharide
AT1G61380,GO:0045087,innate immune response
AT1G61380,GO:0046777,protein autophosphorylation
AT1G61380,GO:0048544,recognition of pollen
AT1G61390,GO:0006955,immune response
AT1G61390,GO:0007165,signal transduction
AT1G61390,GO:0048544,recognition of pollen
AT1G61400,GO:0006955,immune response
AT1G61400,GO:0007165,signal transduction
AT1G61400,GO:0048544,recognition of pollen
AT1G61410,GO:0006302,double-strand break repair
AT1G61410,GO:0006310,DNA recombination
AT1G61415,GO:0008150,biological_process
AT1G61420,GO:0006955,immune response
AT1G61420,GO:0007165,signal transduction
AT1G61420,GO:0048544,recognition of pollen
AT1G61430,GO:0006955,immune response
AT1G61430,GO:0007165,signal transduction
AT1G61430,GO:0048544,recognition of pollen
AT1G61440,GO:0006955,immune response
AT1G61440,GO:0007165,signal transduction
AT1G61440,GO:0048544,recognition of pollen
AT1G61450,,
AT1G61460,GO:0006955,immune response
AT1G61460,GO:0007165,signal transduction
AT1G61460,GO:0048544,recognition of pollen
AT1G61470,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
AT1G61475,GO:0006955,immune response
AT1G61475,GO:0007165,signal transduction
AT1G61480,GO:0006955,immune response
AT1G61480,GO:0007165,signal transduction
AT1G61480,GO:0048544,recognition of pollen
AT1G61490,GO:0006955,immune response
AT1G61490,GO:0007165,signal transduction
AT1G61490,GO:0048544,recognition of pollen
AT1G61500,GO:0006955,immune response
AT1G61500,GO:0007165,signal transduction
AT1G61500,GO:0048544,recognition of pollen
AT1G61520,GO:0009409,response to cold
AT1G61520,GO:0009644,response to high light intensity
AT1G61520,GO:0009645,response to low light intensity stimulus
AT1G61520,GO:0009765,"photosynthesis, light harvesting"
AT1G61520,GO:0009768,"photosynthesis, light harvesting in photosystem I"
AT1G61540,GO:0008150,biological_process
AT1G61550,GO:0006955,immune response
AT1G61550,GO:0007165,signal transduction
AT1G61550,GO:0048544,recognition of pollen
AT1G61560,GO:0006952,defense response
AT1G61560,GO:0050832,defense response to fungus
AT1G61562,GO:0008150,biological_process
AT1G61563,GO:0007204,positive regulation of cytosolic calcium ion concentration
AT1G61563,GO:0007267,cell-cell signaling
AT1G61563,GO:0010082,regulation of root meristem growth
AT1G61563,GO:0010183,pollen tube guidance
AT1G61563,GO:0019722,calcium-mediated signaling
AT1G61565,GO:0008150,biological_process
AT1G61566,GO:0007267,cell-cell signaling
AT1G61566,GO:0010183,pollen tube guidance
AT1G61566,GO:0019722,calcium-mediated signaling
AT1G61570,GO:0045039,protein insertion into mitochondrial inner membrane
AT1G61575,GO:0008150,biological_process
AT1G61580,GO:0006412,translation
AT1G61580,GO:0042742,defense response to bacterium
AT1G61590,GO:0002221,pattern recognition receptor signaling pathway
AT1G61590,GO:1901141,regulation of lignin biosynthetic process
AT1G61600,,
AT1G61610,GO:0006955,immune response
AT1G61610,GO:0007165,signal transduction
AT1G61610,GO:0048544,recognition of pollen
AT1G61620,GO:0009640,photomorphogenesis
AT1G61620,GO:0016567,protein ubiquitination
AT1G61620,GO:0031648,protein destabilization
AT1G61630,GO:0015858,nucleoside transport
AT1G61630,GO:1901642,nucleoside transmembrane transport
AT1G61640,,
AT1G61660,GO:0006355,regulation of DNA-templated transcription
AT1G61660,GO:0006357,regulation of transcription by RNA polymerase II
AT1G61660,GO:0042631,cellular response to water deprivation
AT1G61660,GO:0045893,positive regulation of DNA-templated transcription
AT1G61660,GO:0071215,cellular response to abscisic acid stimulus
AT1G61660,GO:0071472,cellular response to salt stress
AT1G61660,GO:2000377,regulation of reactive oxygen species metabolic process
AT1G61667,,
AT1G61670,,
AT1G61680,GO:0016114,terpenoid biosynthetic process
AT1G61680,GO:0043693,monoterpene biosynthetic process
AT1G61680,GO:0046246,terpene biosynthetic process
AT1G61688,GO:0008150,biological_process
AT1G61690,,
AT1G61700,GO:0006351,DNA-templated transcription
AT1G61700,GO:0006360,transcription by RNA polymerase I
AT1G61700,GO:0006366,transcription by RNA polymerase II
AT1G61700,GO:0042797,tRNA transcription by RNA polymerase III
AT1G61710,GO:0008150,biological_process
AT1G61720,GO:0009813,flavonoid biosynthetic process
AT1G61720,GO:0009964,negative regulation of flavonoid biosynthetic process
AT1G61730,GO:0006355,regulation of DNA-templated transcription
AT1G61730,GO:0010468,regulation of gene expression
AT1G61730,GO:0019760,glucosinolate metabolic process
AT1G61732,,
AT1G61740,,
AT1G61750,,
AT1G61760,GO:0098542,defense response to other organism
AT1G61770,GO:0006457,protein folding
AT1G61780,GO:0031122,cytoplasmic microtubule organization
AT1G61790,GO:0006487,protein N-linked glycosylation
AT1G61790,GO:0010483,pollen tube reception
AT1G61795,GO:0009860,pollen tube growth
AT1G61795,GO:0009966,regulation of signal transduction
AT1G61800,GO:0007276,gamete generation
AT1G61800,GO:0009624,response to nematode
AT1G61800,GO:0009643,photosynthetic acclimation
AT1G61800,GO:0009744,response to sucrose
AT1G61800,GO:0009749,response to glucose
AT1G61800,GO:0010109,regulation of photosynthesis
AT1G61800,GO:0015713,phosphoglycerate transmembrane transport
AT1G61800,GO:0015714,phosphoenolpyruvate transport
AT1G61800,GO:0015760,glucose-6-phosphate transport
AT1G61800,GO:0015979,photosynthesis
AT1G61800,GO:0035436,triose phosphate transmembrane transport
AT1G61800,GO:0055085,transmembrane transport
AT1G61810,GO:0005975,carbohydrate metabolic process
AT1G61810,GO:0009809,lignin biosynthetic process
AT1G61820,GO:0005975,carbohydrate metabolic process
AT1G61820,GO:0009809,lignin biosynthetic process
AT1G61840,,
AT1G61850,GO:0006629,lipid metabolic process
AT1G61850,GO:0006631,fatty acid metabolic process
AT1G61850,GO:0009620,response to fungus
AT1G61850,GO:0009695,jasmonic acid biosynthetic process
AT1G61850,GO:0050832,defense response to fungus
AT1G61860,,
AT1G61870,,
AT1G61890,GO:0055085,transmembrane transport
AT1G61890,GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane
AT1G61900,,
AT1G61910,,
AT1G61920,,
AT1G61930,GO:0010150,leaf senescence
AT1G61940,GO:0006355,regulation of DNA-templated transcription
AT1G61950,GO:0035556,intracellular signal transduction
AT1G61960,GO:0009658,chloroplast organization
AT1G61970,GO:0009658,chloroplast organization
AT1G61980,GO:0009658,chloroplast organization
AT1G61990,GO:0009658,chloroplast organization
AT1G62000,GO:0010192,mucilage biosynthetic process
AT1G62000,GO:0010214,seed coat development
AT1G62010,GO:0009658,chloroplast organization
AT1G62020,GO:0006886,intracellular protein transport
AT1G62020,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport
AT1G62020,GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
AT1G62020,GO:0016192,vesicle-mediated transport
AT1G62030,,
AT1G62035,,
AT1G62040,GO:0000045,autophagosome assembly
AT1G62040,GO:0000423,mitophagy
AT1G62040,GO:0006995,cellular response to nitrogen starvation
AT1G62040,GO:0097352,autophagosome maturation
AT1G62045,GO:0045087,innate immune response
AT1G62045,GO:0051924,regulation of calcium ion transport
AT1G62050,,
AT1G62060,GO:0010192,mucilage biosynthetic process
AT1G62060,GO:0010214,seed coat development
AT1G62070,GO:0008150,biological_process
AT1G62080,GO:0010192,mucilage biosynthetic process
AT1G62080,GO:0010214,seed coat development
AT1G62085,GO:0009658,chloroplast organization
AT1G62110,,
AT1G62120,,
AT1G62130,GO:0008150,biological_process
AT1G62150,,
AT1G62160,GO:0008150,biological_process
AT1G62170,GO:0006281,DNA repair
AT1G62170,GO:0008150,biological_process
AT1G62180,GO:0000103,sulfate assimilation
AT1G62190,GO:0006631,fatty acid metabolic process
AT1G62190,GO:0006636,unsaturated fatty acid biosynthetic process
AT1G62200,GO:0006857,oligopeptide transport
AT1G62200,GO:0055085,transmembrane transport
