Gene,Flight_Mean,Ground_Mean,Effect,P_Value,Adjusted_P_Value,Significant,-log10_p
AT5G19760,12.058944257391362,12.295700660274905,-0.23675640288354316,0.35529909515560987,0.6382306895288419,False,0.19502231644997398
AT2G32730,9.539610294300289,9.774459716834416,-0.23484942253412733,0.35531447623124446,0.6382306895288419,False,0.19502231644997398
AT4G01090,6.789992802646755,7.0400924541305105,-0.25009965148375546,0.3553383643316662,0.6382381150317881,False,0.19501726367478134
AT1G19870,8.884525689680224,9.12492850283832,-0.24040281315809509,0.3553675398492463,0.6382550361325976,False,0.19500574972235155
AT1G06160,5.9146648653398355,5.471156753487901,0.4435081118519344,0.3553876674377291,0.6382557057946409,False,0.19500529405751366
AT4G10230,0.4625986174241169,0.2086536861508942,0.2539449312732227,0.35575535620620147,0.6383033625385327,False,0.19497286773049013
AT5G27740,8.86219727547651,9.13851298913018,-0.2763157136536716,0.35578957120172194,0.6383033625385327,False,0.19497286773049013
AT4G16745,4.769617399744453,5.104319454531771,-0.33470205478731785,0.3554601145717654,0.6383033625385327,False,0.19497286773049013
AT2G13800,4.967910935663356,5.461432336768002,-0.4935214011046458,0.3557322919915008,0.6383033625385327,False,0.19497286773049013
AT5G04530,1.8876216611316219,1.4216319613089108,0.4659896998227111,0.3557720565029564,0.6383033625385327,False,0.19497286773049013
AT3G30200,0.4081096739639097,0.1964225764336503,0.21168709753025938,0.35567129523720564,0.6383033625385327,False,0.19497286773049013
AT1G05767,7.898900287314775,8.167459781204144,-0.26855949388936917,0.3557871207366561,0.6383033625385327,False,0.19497286773049013
AT2G17920,0.4840768349795738,0.8300766896732797,-0.3459998546937059,0.35554532939552275,0.6383033625385327,False,0.19497286773049013
AT1G51320,0.24667525859070083,0.5226540178433935,-0.27597875925269266,0.3555146788051685,0.6383033625385327,False,0.19497286773049013
AT5G62810,8.543406280969075,8.861243502324871,-0.31783722135579673,0.3557511610405444,0.6383033625385327,False,0.19497286773049013
AT3G17626,7.058029461488666,7.314919050230724,-0.2568895887420579,0.3555864714251268,0.6383033625385327,False,0.19497286773049013
AT4G34940,0.27810990606329755,0.06150417873781975,0.2166057273254778,0.35566918366360334,0.6383033625385327,False,0.19497286773049013
AT5G60270,4.6450303190445785,5.110180222826585,-0.4651499037820068,0.35574941186446996,0.6383033625385327,False,0.19497286773049013
AT2G29570,9.470986315662724,9.706852696668898,-0.23586638100617385,0.35557120600984193,0.6383033625385327,False,0.19497286773049013
AT3G09200,13.827943527208674,14.057714148132833,-0.22977062092415856,0.35568013121452,0.6383033625385327,False,0.19497286773049013
AT4G21063,4.09575111167056,3.77833484730949,0.3174162643610696,0.3557217746962895,0.6383033625385327,False,0.19497286773049013
AT4G08950,8.851254681759231,8.580445889898721,0.2708087918605102,0.35558405897149614,0.6383033625385327,False,0.19497286773049013
AT4G28390,6.4598130639716755,6.746965920402002,-0.2871528564303265,0.35557982988863424,0.6383033625385327,False,0.19497286773049013
AT4G28320,6.428037627215152,6.7067551018568645,-0.2787174746417129,0.3555464555586034,0.6383033625385327,False,0.19497286773049013
AT2G06255,6.3279277349612935,6.640031409658938,-0.3121036746976449,0.35583144415736234,0.6383298966908948,False,0.1949548145646789
AT1G53450,6.470360720458385,6.791876408092833,-0.3215156876344478,0.35584387536908313,0.6383298966908948,False,0.1949548145646789
AT3G30842,1.442260616936362,1.8769704459080214,-0.43470982897165933,0.35587279771031155,0.638346336954389,False,0.19494362940194335
AT2G40740,0.47442125256455125,0.7089031730498963,-0.234481920485345,0.3559962812915636,0.6383767697980016,False,0.19492292512239803
AT1G21651,6.03582859414533,6.33761824698533,-0.30178965284000014,0.3559299998661182,0.6383767697980016,False,0.19492292512239803
AT1G77250,6.775611756591723,7.1125540212863445,-0.3369422646946214,0.35599160602489377,0.6383767697980016,False,0.19492292512239803
AT4G20770,2.465624840185386,2.880020614396296,-0.4143957742109099,0.35594455682858694,0.6383767697980016,False,0.19492292512239803
AT3G04440,4.053133964686067,4.5853117580326765,-0.5321777933466096,0.35600831465599037,0.6383767697980016,False,0.19492292512239803
AT3G11710,9.784209101602048,10.047490289133757,-0.2632811875317085,0.3559808157462939,0.6383767697980016,False,0.19492292512239803
AT1G08347,0.18316205990016965,0.38664484171442903,-0.20348278181425938,0.35607354080053666,0.6384475427639168,False,0.194874780192365
AT3G59090,7.964819857208664,8.227954495317462,-0.2631346381087978,0.35608730448499737,0.6384475427639168,False,0.194874780192365
AT1G21640,6.9572557472751,7.2363086774998955,-0.27905293022479505,0.3561789854240405,0.6385764852153223,False,0.1947870778561648
AT2G27200,6.972716577711292,7.216892180613008,-0.24417560290171547,0.35626184003740047,0.6386541524589898,False,0.19473425974423408
AT5G59780,10.069664871593789,10.353338441266054,-0.2836735696722652,0.3562469975805205,0.6386541524589898,False,0.19473425974423408
AT2G47880,0.2716803380446092,0.061049075024103706,0.21063126302050553,0.3563223652289479,0.6386563462876998,False,0.19473276791009675
AT2G30110,9.689101249779167,9.922054570420729,-0.2329533206415615,0.356302734719783,0.6386563462876998,False,0.19473276791009675
AT5G63640,8.118930272212591,8.38894018144166,-0.27000990922906887,0.3563123202279994,0.6386563462876998,False,0.19473276791009675
AT2G27430,6.042663190702773,6.319703966491571,-0.27704077578879804,0.3563626292930039,0.6386930820340413,False,0.19470778785127282
AT1G53190,7.3896566594632755,7.640483715760233,-0.25082705629695745,0.35640272710105303,0.6386992969054338,False,0.19470356192289556
AT5G11870,6.522948294490961,6.784200745194227,-0.26125245070326564,0.3564056338453083,0.6386992969054338,False,0.19470356192289556
AT3G16650,5.047162664165427,5.332760071527673,-0.28559740736224626,0.3566873685791695,0.6391687294189898,False,0.1943844805228849
AT1G12160,8.369635581184522,8.667596897924357,-0.29796131673983517,0.35685772637946167,0.6394052174665882,False,0.19422382426122803
AT4G17940,8.077225728666509,8.333901717957994,-0.2566759892914856,0.35692585804691546,0.6394052174665882,False,0.19422382426122803
AT5G49740,1.5815020445057846,1.241489397708691,0.34001264679709364,0.3569380823370387,0.6394052174665882,False,0.19422382426122803
AT2G21595,0.7685710376812316,1.0831799082468425,-0.31460887056561093,0.3569187107868017,0.6394052174665882,False,0.19422382426122803
AT3G60850,6.212716430084155,6.459797065074218,-0.24708063499006272,0.3568630574749807,0.6394052174665882,False,0.19422382426122803
