Gene,"Ground Control, 4 days old, Col-0 Rep1","Ground Control, 4 days old, Col-0 Rep2","Ground Control, 4 days old, Col-0 Rep3","Ground Control, 4 days old, Col-0 Rep4","Spaceflight, 4 days old, Col-0 Rep1","Spaceflight, 4 days old, Col-0 Rep2","Spaceflight, 4 days old, Col-0 Rep3","Spaceflight, 4 days old, Col-0 Rep4","Ground Control, 4 days old, WS Rep1","Ground Control, 4 days old, WS Rep2","Ground Control, 4 days old, WS Rep3","Ground Control, 4 days old, WS Rep4","Spaceflight, 4 days old, WS Rep1","Spaceflight, 4 days old, WS Rep2","Spaceflight, 4 days old, WS Rep3","Spaceflight, 4 days old, WS Rep4","Ground Control, 8 days old, Col-0 Rep1","Ground Control, 8 days old, Col-0 Rep2","Ground Control, 8 days old, Col-0 Rep3","Ground Control, 8 days old, Col-0 Rep4","Spaceflight, 8 days old, Col-0 Rep1","Spaceflight, 8 days old, Col-0 Rep2","Spaceflight, 8 days old, Col-0 Rep3","Spaceflight, 8 days old, Col-0 Rep4","Ground Control, 8 days old, WS Rep1","Ground Control, 8 days old, WS Rep2","Ground Control, 8 days old, WS Rep3","Ground Control, 8 days old, WS Rep4","Spaceflight, 8 days old, WS Rep1","Spaceflight, 8 days old, WS Rep2","Spaceflight, 8 days old, WS Rep3","Spaceflight, 8 days old, WS Rep4"
AT4G23496,-0.1433283264884136,0.15782996632819007,-0.5739515716342237,-0.25493670254337963,-1.3383295967311877,-1.2627848795232006,-1.701940075208734,-1.6590462260215022,-0.1277212985339895,-0.1987998128313008,-0.1430182755019846,0.3690854626932075,-1.7346071542299935,-1.4517094740106253,-1.2945881316879257,-0.7728272345909931,1.588832810972782,1.4086752317494358,1.0950463732893194,1.4801126815149286,-0.19972137057902842,-0.06904965089107191,-0.0026064317956517994,0.14212697238249328,1.1517755987034135,1.427457943559573,1.0637489615742932,1.2942520494579839,0.42171540227477916,0.5487465807590682,0.4450794250526888,0.3344807524910486
AT4G18422,1.3074574390807088,1.6875194751479605,0.44046615464070776,0.5373914855698116,-0.598736483220982,-0.6017538349706432,-0.7667654623812998,-1.7497386595495206,1.597876270781504,0.4740435469964304,0.7993638185035775,1.5362999983528811,-0.9786460366630362,-0.865269443667452,-0.4828973809056719,-1.1119311907826719,1.0756368851693652,0.5766541823561283,0.8230044691775783,-0.04516232253923757,-0.6631667180816706,-1.1836800974444404,-0.6182664175013826,-1.2259280657572074,1.0947941654868727,0.9606110183915748,0.9606115785626239,0.8728183015586514,-0.8754037676084617,-1.318659746861791,-0.662951785863311,-0.9955913759775988
AT3G52740,1.0183216994925035,0.9352478170545735,0.7385153935593538,0.8125670312472143,-1.257244419211118,-1.2180994914641046,-1.904343589298509,-1.6452445294834344,1.320483807137123,-0.10115033505435671,1.1876009871718112,1.3953983874652134,-0.7778017184405684,-0.6770561333210211,-0.22425525938255947,-0.45759213850441977,0.9303270604554441,0.9710183377699128,0.7482988949259171,0.7796180879450881,-1.3095858455662635,-0.8361579870499473,-1.3177460535037007,-1.6571015871824302,1.004128796577063,0.8463444443963899,0.7514713718731368,0.8084037900705341,-0.19367413959727542,-0.2720395207250429,-0.05126900226430818,-0.34738415709219417
AT4G15248,0.9413810080474259,1.8559686573600185,0.41888764559086655,0.29664102957538013,-1.7645146728540038,-1.3495317968238838,-1.6076914653645684,-1.6089227915094118,0.3366675913649317,-0.4038200575916514,0.49572499363726846,0.8400509651542307,-0.634209138592203,-0.8896031732117768,-0.4237252217693459,-0.1907370366634233,1.3995654782326383,1.3313991382397086,0.9220345424556726,1.0322187129897353,-1.2368153681807603,-1.2194065727955798,-0.9439406730230286,-0.8936456820614098,0.9316866886362349,1.1830391729483,0.7478718600849563,1.120794534871952,0.07098956562329155,-0.3540775851126518,-0.12560350116672356,-0.2786768480921996
AT3G24520,1.2527233622154212,1.3920555077293666,1.893727140048909,1.1898841430022962,-0.7586733222443056,-0.6728090679401619,-1.28481636533153,-0.5762053719233491,-0.17235865826138028,-0.6099482219845763,-0.3180537250496623,0.3187340449376538,-1.402911124454078,-1.4607998262056947,-1.1399486033535486,-0.7130482355738679,1.4135215437072288,1.2869374207676232,0.9259279582326779,2.0318098678829135,-0.2131902178680255,-0.0033042587217967856,-0.06715596300353643,-0.48689561190031644,0.07329264960428399,0.6422519046711862,0.5415266559966394,0.2734776144714495,-0.4630727100267677,-1.2751775789080813,-0.06583288351048726,-1.5516680670064358
AT4G25830,2.0268932056489017,1.6193922291496539,1.491991644905799,1.0055508865130156,-0.34237960070815454,0.14053720166599423,0.1913101829608142,-0.11826141138227418,0.9845674406244047,-0.03182637039300576,0.5072572980205643,1.5545684610546469,-1.2939366022813903,-1.0599079719009605,-0.23909672887636627,-0.8671746142622502,1.3216385037059821,0.7772547379152088,0.23951673593272416,0.21657741376356698,-0.8435635567991899,-0.3238311896543979,-0.8188293502914321,-0.9271091771144888,0.8151788760663082,-0.3098456576881215,-0.2671984031015994,0.15730616357588675,-2.149091774790473,-1.617655580080945,-0.8600789321605277,-0.9797540600178812
AT5G66170,-1.5297532617448615,-0.6533151287033576,-1.69226592230352,-1.3289067500136753,0.1297735834237798,0.9379591723459321,0.7863644638004801,-0.8066619007380621,-0.8044329200731032,-1.439135564789605,-1.2216908355824967,-0.7943929138920129,0.3481973242477416,1.087681977705442,1.6700322724496361,1.6086042166493038,-0.7637357478519747,-0.7914952578894936,-0.9359919251031715,-1.2565713504972578,0.5314572374068887,0.7891503071915767,0.3539910796413365,0.2796417208520387,0.057381096356902014,0.0987328711562136,0.10791751752773344,0.42005985869706236,0.8665956621691747,1.323234346319058,1.2795622365788482,1.342012534663461
AT1G10370,-0.3908111962733227,-0.16411380691351576,0.40517480088533003,-0.5232573360948609,-2.0134027456295667,-1.6149487790886932,-1.44338920276221,-1.8378886482454326,0.739637386534375,1.0613586538609032,1.6200900100621518,1.8796159351427573,-1.2533872306886413,-0.7971954803182538,-0.5393701767146255,-0.34969923403336683,0.48917157726225363,0.5445096345122383,-0.025387305991784265,0.7332863816547036,-0.6320382398525152,-0.14329967907493565,-0.2819890457077348,-0.5754531319905851,1.4952718959848388,1.3957737627446756,0.6904911183661353,1.4250218039657374,-0.21487027385901786,-0.18613005446790873,0.2171316007706686,0.2900970059602187
AT4G14690,1.339705090983269,1.4565880644989153,1.7230158580301,2.080750126669247,-0.9110285224215015,-1.054258958633642,-1.0067806748621813,-0.969836784977855,0.6647212653064318,-0.2973392296332011,0.6417185854231814,-0.31309671491298763,-0.7109174001727032,-1.0358640822698018,-1.4801263788978487,-1.3911586670810372,1.5788680058421254,1.359361088407196,1.3785137532240705,0.8847683534590107,-0.4450339372208734,-1.0387448210328534,-0.41166857270192175,-0.7139148213061134,0.19620920789240204,-0.1456381960770567,0.28100276761134635,0.11967500789750708,-0.1369686945621364,-0.7844998386490012,-0.35932376643960384,-0.4986971133924913
AT5G54470,0.5648540587817693,0.6346921785499933,0.4258508568689355,-0.37468761258387884,-1.7390881320831504,-1.4351901987743705,-0.30500808198394763,-1.8351872553052186,0.29044772234312205,0.5514386645443314,0.5287327021921048,0.7797674263724058,-0.42356171142412147,-0.7513932414419492,-1.2315566881708329,-1.272437649161285,1.7203566101124754,1.4171709767456298,1.738729104592455,1.5029771962020233,0.29362684307942577,0.21972881266886377,-0.6390400141230984,-1.1773503918463097,0.32405094194994255,1.040688822818597,0.9777434890870319,0.7320487302300392,-0.2299705366379745,-0.32573310011470535,-0.6608336558274789,-1.3418668676608252
AT5G53980,-1.5231205214809695,-0.7503819010579219,-0.9833844518209052,-0.3733987883118464,1.733069553397169,1.3567731846577922,0.8447305498504611,0.6524122072952732,-0.3994544055204066,0.08569127347119349,-0.146330816722744,0.051043555902689275,0.92504282209459,0.9568239060245509,1.6070155437547162,2.4574973543377228,-1.285983041429627,-1.2545527895197541,-1.1288953438262257,-1.5990817005651832,-0.805423686808081,-0.030201625524046084,-0.1051461399576126,-0.3588656282358593,-0.649957051820729,-0.9779774123587912,-0.6562025424111927,-0.010129698289446586,0.3195022579603837,1.1020193697950542,0.5736198326351056,0.3732461344846239
AT5G67210,1.9241048154991376,1.3969049394893234,0.9735783973651876,1.628605112506277,-0.5259206900651986,-0.36680146617826315,-0.4761777329693268,-1.2521491560781233,0.17200634412400231,-0.3136632682579757,-0.029145280984303714,1.0781920757227093,-2.279557385198886,-0.9606413700019268,-1.3457624386596327,-1.2258519107758812,0.4372731795784306,0.3635212306924939,1.1957315697223319,1.4538482796791359,-0.35504951396332374,-0.6725817101585106,0.060028661113325464,-0.5054679248883784,1.1680365864932531,0.6599578465885858,0.008393800368120426,0.7781678354409478,-1.327738660207153,-0.47001496380734664,-0.6745141672825419,-0.5173130349064743
AT5G23280,0.6771686194381887,0.842757666148863,0.05502658409832216,0.6573588963644875,-0.7113093349049805,-1.4075274434606564,-0.40583897818044623,-0.497120811485828,-0.31326424391883484,-0.41357695293809704,0.08122751966128275,0.37507111185633757,-2.4354950376847597,-1.5589272093974396,-1.7885485482966452,-1.0017647728664736,1.0963688000551275,1.4393112315555339,1.1058164005588818,1.336943080411198,0.28824514754565006,0.7178109343089605,-0.5348078557856394,0.3283772886102162,1.4838471881866957,1.1882308676684255,0.8940838516677073,0.6662380671452685,0.36499008239283887,-0.640009299582569,-1.1083410252287897,-0.7823418239428838
AT2G44080,-1.2714653178655408,-1.339523992168726,-1.1252472079057532,-0.662620623997643,0.8797602686652475,1.222978978791652,0.7536669524054929,0.24092144476230645,-1.3853953041497884,-1.8856628073146326,-1.8374163175561256,-1.3305885287295025,0.675907347102844,1.724660589375298,1.7875119176215706,0.9611779488117695,-0.5728580283191739,-0.6152221205254963,0.4133806101807934,-0.411025055539166,0.39120947948923984,0.7519161133404766,0.3557722095409135,0.22922028990234214,-0.25770047632461385,-0.21310303376016873,-0.4878400810181646,-0.5140130839497595,0.9026532090864834,1.1377007838961486,0.9016809335595792,0.5795629025920903
AT1G67030,0.9443247710149868,0.9255812152793512,1.3490145309152421,1.2953480305346332,-1.1962375860998957,-1.005096502882579,-0.9700861415306997,-1.7186298741805393,-0.16808512464422204,0.8988623944500234,0.8903376988955075,1.3424645812793075,-2.48243920303882,-0.9188775203265332,-0.12853689051141368,-0.4737582370976321,1.1844169660554973,0.7836755436316503,0.3747008693029337,1.1496561607850715,-1.3604466921024354,-0.7720060787535237,-0.5826129776288443,-0.8488023051815974,0.7293071966932967,0.5827252181262129,0.5377470074068356,0.7355677148142773,-0.32155995699116785,-0.2230973841803067,0.33362523768939245,-0.8870826617239576
AT2G27370,2.214871946048712,1.1837618000104264,0.34808285415733015,2.0061468341995523,-1.0327985761254603,-0.41681237811657185,-1.177259216946676,-0.8249416349515227,0.9043021696068941,0.00909606296801099,0.11693711395992706,1.3015602955883863,-1.716274394931601,-1.7988334385762783,-1.186531868949223,-1.1497894153788957,1.0991734494584315,1.1130601837030778,0.5574978198550266,0.8330401490493706,-0.15196236027181617,0.4131263198278137,-0.31606464395512895,-0.016914172299557762,0.42032205682081974,0.3150318752341699,0.1660901442800584,0.03082857615795448,-0.9060998437285209,-1.0410915478276592,-0.5914287523207715,-0.7061274065462908
AT4G04750,0.7134012354038449,1.2628214177300416,0.7400106316417028,0.5069054052064259,-0.9412524224126714,-1.9866248170892815,-1.372304917043575,-1.821700090677367,0.2591027038541857,0.48845643612926687,0.9336758126330348,0.8501945990815294,-1.6136418948813107,-0.8423784297421496,-1.8818252783382545,-0.9956849506594991,0.9117508469525635,0.35527783071981306,0.572146324388565,0.8169017692363721,0.15331105597893574,-1.3236081131273014,-0.03496262562921014,0.40515356842826494,1.1090770011360047,0.8776818897682835,1.2988526422032112,0.95801004076922,0.07113723191846655,0.5374986015137755,-0.5790666569402808,-0.42831684815259335
AT1G54540,1.197525343849144,0.9356266909520964,0.1494745906089837,0.1872199601840366,-1.1263426647766661,-1.102370893668806,-1.4767204354018506,-1.4348584119692167,-0.5011657929552084,-0.6281168859040466,-0.08258744313511919,0.06240943053624762,-1.913367589508025,-1.4453333202183,-0.7965273876036361,-1.160934898353661,0.9740476472623895,0.5745822639469375,1.0403948676694812,1.4943026438312008,0.14926350301073002,0.09956618683547667,-0.8185876760814972,-0.24080510229752017,1.7654248925346554,1.4706958257225884,1.3768783739715584,1.111988762813878,-0.013589072486430992,0.6216198216802927,0.12410745697940154,-0.5938206880290953
AT1G21320,-1.242628093084808,-0.9044804851890311,-0.44134406609788485,-0.7163930878825627,0.31700688598309457,0.5570577523717352,0.6149180560911908,0.19898157537069316,-0.27901412293753897,-0.3218441880570834,-0.9976515503426577,-1.0941661115648158,0.7086012084883402,1.8633473478321299,2.108887337390511,0.7973731987190911,-0.7220960455035917,-1.1419170015935682,-1.147634304196098,-1.1589965122149621,0.5782630272791808,1.999870473331336,-0.05197731057223665,-0.5914299649729825,-1.5067044277289454,-0.9567535764707832,-0.38614580597698467,-0.09498291899857664,0.9306229335628806,1.299666303081639,0.8133369267357728,0.9682265471475205
AT5G54230,1.1678978704881031,1.6924868188490036,0.7217000029251801,0.7741974907013921,-0.09125395090884424,-0.5638649411864307,-0.693994681742874,-0.035100764639739795,-0.022215533461834018,-0.5206312429269021,0.19444764005374165,-0.17079073819531534,-2.245330796275728,-2.074621980363468,-1.5531767930257283,-2.0114937389736514,1.0705830392821822,0.6686563712709713,1.278543496493459,1.1365795195888988,-0.1698570846333199,0.9015637140658735,0.19005493779805455,-0.48180901944437654,0.9649038050727952,0.8815396155932512,0.9755168884994795,0.20013843464355008,-0.4408691046410969,-0.38971649066482583,-0.9084036924305269,-0.4456790918112844
AT2G36870,-0.5299718141153038,-0.45774952772475985,-0.34386345176817273,-0.2110207466462517,-1.277477510938862,-1.939101432888282,-1.0938676909590934,-1.7228133166202533,0.28170468955051997,-0.7662594937440514,-0.30253863492457356,0.38353797301635845,-1.711789007481225,-1.378535487270651,-0.5871308790929047,-0.5888641256952429,1.383539851809863,1.1995149097926434,1.2885037443456024,0.9131217848769614,-0.3150736859818753,-0.06560716797637314,0.0075164215367827985,0.11947663810272136,1.719108714193255,1.4036739578153892,1.024845766348458,1.3289602401131138,0.48709459037341135,1.0946729231504766,0.27876273026327975,0.37762903853904634
